Diameter_m,BladeLength_m,Volume_m3,CarbonFraction,MaterialCostPer_m3_£,MaterialStructuralCost_£,ToolingAmortPerBlade_£,TotalCost_£
50.0,25.0,2.2735748497655974,0.1,2550.0,6377.377453592501,3487.5,9864.8774535925
51.0,25.5,2.3842383469543353,0.10333333333333333,2585.0,6791.908251818407,3500.075,10291.983251818407
52.0,26.0,2.497981805405197,0.10666666666666667,2620.0,7225.362412498424,3512.8,10738.162412498425
53.0,26.5,2.614829241956264,0.11,2655.0,7678.263030957633,3525.675,11203.938030957634
54.0,27.0,2.7348043978718923,0.11333333333333334,2690.0,8151.139203945133,3538.7,11689.839203945132
55.0,27.5,2.8579307471172717,0.11666666666666667,2725.0,8644.526027342969,3551.875,12196.401027342969
56.0,28.0,2.984231504236643,0.12,2760.0,9158.964594282766,3565.2,12724.164594282767
57.0,28.5,3.113729631860984,0.12333333333333334,2795.0,9695.001993651318,3578.675,13273.67699365132
58.0,29.0,3.2464478478688727,0.12666666666666668,2830.0,10253.191308967305,3592.3,13845.491308967306
59.0,29.5,3.3824086322223055,0.13,2865.0,10834.091617612301,3606.075,14440.1666176123
60.0,30.0,3.521634233497586,0.13333333333333333,2900.0,11438.26799040016,3620.0,15058.26799040016
61.0,30.5,3.6641466751297687,0.13666666666666666,2935.0,12066.291491469587,3634.075,15700.366491469587
62.0,31.0,3.8099677613877843,0.14,2970.0,12718.739178485614,3648.3,16367.039178485615
63.0,31.5,3.95911908309606,0.14333333333333334,3005.0,13396.19410313632,3662.675,17058.86910313632
64.0,32.0,4.1116220231173015,0.14666666666666667,3040.0,14099.245311912002,3677.2,17776.445311912
65.0,32.5,4.2674977616100005,0.15,3075.0,14828.487847154347,3691.875,18520.36284715435
66.0,33.0,4.426767281073312,0.15333333333333332,3110.0,15584.52274836422,3706.7,19291.22274836422
67.0,33.5,4.589451371191011,0.15666666666666668,3145.0,16367.957053756754,3721.675,20089.632053756755
68.0,34.0,4.755570633485436,0.16,3180.0,17179.40380205347,3736.8,20916.20380205347
69.0,34.5,4.925145485791612,0.16333333333333333,3215.0,18019.482034501194,3752.075,21771.557034501195
70.0,35.0,5.098196166561005,0.16666666666666669,3250.0,18888.816797108524,3767.5,22656.316797108524
71.0,35.5,5.274742739003776,0.16999999999999998,3285.0,19788.039143090497,3783.075,23571.114143090497
72.0,36.0,5.454805095077804,0.17333333333333334,3320.0,20717.786135513106,3798.8,24516.586135513106
73.0,36.5,5.63840295933222,0.17666666666666667,3355.0,21678.7008501293,3814.675,25493.375850129298
74.0,37.0,5.825555892612694,0.18,3390.0,22671.43237839867,3830.7,26502.13237839867
75.0,37.5,6.016283295635262,0.18333333333333335,3425.0,23696.635830683386,3846.875,27543.510830683386
76.0,38.0,6.21060441243508,0.18666666666666665,3459.9999999999995,24754.97233961323,3863.2,28618.17233961323
77.0,38.5,6.408538333696066,0.19,3495.0,25847.109063612985,3879.675,29726.784063612984
78.0,39.0,6.610103999967067,0.19333333333333333,3530.0,26973.71919058561,3896.3,30870.019190585608
79.0,39.5,6.815320204769827,0.19666666666666666,3565.0,28135.48194174513,3913.075,32048.55694174513
80.0,40.0,7.024205597603734,0.2,3600.0,29333.08257559319,3930.0,33263.08257559319
81.0,40.5,7.2367786868520465,0.20333333333333334,3635.0,30567.21239203375,3947.075,34514.28739203375
82.0,41.0,7.453057842593985,0.20666666666666667,3670.0,31838.568736620393,3964.3,35802.868736620396
83.0,41.5,7.673061299326906,0.21,3705.0,33147.85500493121,3981.675,37129.53000493121
84.0,42.0,7.896807158602424,0.21333333333333332,3740.0,34495.78064706614,3999.2000000000003,38494.980647066135
85.0,42.5,8.124313391580287,0.21666666666666667,3775.0,35883.061172262234,4016.875,39899.936172262234
86.0,43.0,8.355597841503439,0.22,3810.0,37310.41815362214,4034.7,41345.118153622134
87.0,43.5,8.590678226097646,0.22333333333333333,3845.0,38778.57923295155,4052.675,42831.254232951556
88.0,44.0,8.829572139898817,0.22666666666666666,3880.0,40288.27812570151,4070.8,44359.07812570151
89.0,44.5,9.072297056510994,0.23,3915.0,41840.25462601135,4089.075,45929.32962601135
90.0,45.0,9.318870330797857,0.23333333333333334,3950.0,43435.25461184881,4107.5,47542.75461184881
91.0,45.5,9.569309201010403,0.23666666666666666,3985.0,45074.03005024327,4126.075,49200.10505024327
92.0,46.0,9.823630790853372,0.24,4020.0,46757.33900260898,4144.8,50902.13900260898
93.0,46.5,10.081852111492795,0.24333333333333332,4055.0,48485.94563015449,4163.675,52649.620630154495
94.0,47.0,10.343990063507004,0.24666666666666667,4090.0,50260.62019937545,4182.7,54443.32019937545
95.0,47.5,10.61006143878327,0.25,4125.0,52082.13908762737,4201.875,56284.01408762737
