Diameter_m,BladeLength_m,Volume_m3,CarbonFraction,MaterialCostPer_m3_£,MaterialStructuralCost_£,ToolingAmortPerBlade_£,TotalCost_£
40.0,20.0,1.3308380988578814,0.1,2550.0,3665.1281242546056,3370.0,7035.128124254606
41.0,20.5,1.4120904053974939,0.1,2550.0,3896.0986375322254,3381.075,7277.173637532225
42.0,21.0,1.49616517910395,0.1,2550.0,4135.699788079139,3392.3,7527.999788079139
43.0,21.5,1.583089758933161,0.1,2550.0,4384.050469413603,3403.675,7787.725469413604
44.0,22.0,1.6728910959554129,0.1,2550.0,4641.2690566186975,3415.2,8056.469056618697
45.0,22.5,1.7655957676940683,0.1,2550.0,4907.473436305663,3426.875,8334.348436305663
46.0,23.0,1.8612299916222625,0.1,2550.0,5182.781034671352,3438.7,8621.481034671353
47.0,23.5,1.9598196378845638,0.1,2550.0,5467.308843806568,3450.675,8917.983843806567
48.0,24.0,2.0613902413038896,0.1,2550.0,5761.173446396111,3462.7999999999997,9223.97344639611
49.0,24.5,2.165967012728111,0.1,2550.0,6064.491038937439,3475.075,9539.566038937439
50.0,25.0,2.2735748497655974,0.1,2550.0,6377.377453592501,3487.5,9864.8774535925
51.0,25.5,2.3842383469543353,0.10333333333333333,2585.0,6791.908251818407,3500.075,10291.983251818407
52.0,26.0,2.497981805405197,0.10666666666666667,2620.0,7225.362412498424,3512.8,10738.162412498425
53.0,26.5,2.614829241956264,0.11,2655.0,7678.263030957633,3525.675,11203.938030957634
54.0,27.0,2.7348043978718923,0.11333333333333334,2690.0,8151.139203945133,3538.7,11689.839203945132
55.0,27.5,2.8579307471172717,0.11666666666666667,2725.0,8644.526027342969,3551.875,12196.401027342969
56.0,28.0,2.984231504236643,0.12,2760.0,9158.964594282766,3565.2,12724.164594282767
57.0,28.5,3.113729631860984,0.12333333333333334,2795.0,9695.001993651318,3578.675,13273.67699365132
58.0,29.0,3.2464478478688727,0.12666666666666668,2830.0,10253.191308967305,3592.3,13845.491308967306
59.0,29.5,3.3824086322223055,0.13,2865.0,10834.091617612301,3606.075,14440.1666176123
60.0,30.0,3.521634233497586,0.13333333333333333,2900.0,11438.26799040016,3620.0,15058.26799040016
61.0,30.5,3.6641466751297687,0.13666666666666666,2935.0,12066.291491469587,3634.075,15700.366491469587
62.0,31.0,3.8099677613877843,0.14,2970.0,12718.739178485614,3648.3,16367.039178485615
63.0,31.5,3.95911908309606,0.14333333333333334,3005.0,13396.19410313632,3662.675,17058.86910313632
64.0,32.0,4.1116220231173015,0.14666666666666667,3040.0,14099.245311912002,3677.2,17776.445311912
65.0,32.5,4.2674977616100005,0.15,3075.0,14828.487847154347,3691.875,18520.36284715435
66.0,33.0,4.426767281073312,0.15333333333333332,3110.0,15584.52274836422,3706.7,19291.22274836422
67.0,33.5,4.589451371191011,0.15666666666666668,3145.0,16367.957053756754,3721.675,20089.632053756755
68.0,34.0,4.755570633485436,0.16,3180.0,17179.40380205347,3736.8,20916.20380205347
69.0,34.5,4.925145485791612,0.16333333333333333,3215.0,18019.482034501194,3752.075,21771.557034501195
